800px-Yellow-faced_parrot_(Alipiopsitta_xanthops)_green_morph.JPG,Charles J. Sharp,Creative Commons Attribution-Share Alike 4.0 International,"https://commons.wikimedia.org/wiki/File:Yellow-faced_parrot_(Alipiopsitta_xanthops)_green_morph.JPG"
800px-Ara_ararauna_(Linnaeus_1758),Michael Gäbler,Creative Commons Attribution 3.0 Unported,"https://commons.wikimedia.org/wiki/File:Ara_ararauna_(Linnaeus_1758).jpg"
Pet Parrot (2).jpg,Gpkp,Creative Commons Attribution-Share Alike 4.0 International,"https://commons.wikimedia.org/wiki/File:Pet_Parrot_(2).jpg"
800px-Pet_Parrot_(1).jpg,Gpkp,Creative Commons Attribution-Share Alike 4.0 International,"https://commons.wikimedia.org/wiki/File:Pet_Parrot_(1).jpg"
Red_Fan_Parrot_Endangered_Species_with_ID_ring_on_leg.jpg,Jonathan Wilkins,Creative Commons Attribution-Share Alike 3.0 Unported,"https://commons.wikimedia.org/wiki/File:Red_Fan_Parrot_Endangered_Species_with_ID_ring_on_leg.jpg"
800px-Superb-parrots-crop-1.jpg,Kevin Murray,Creative Commons CC0 1.0 Universal Public Domain Dedication,"https://commons.wikimedia.org/wiki/File:Superb-parrots-crop-1.jpg"
Portrait_of_Yellow-headed_Amazon_Parrot.jpg,Joe Ravi,Creative Commons Attribution-Share Alike 3.0 Unported,"https://commons.wikimedia.org/wiki/File:Portrait_of_Yellow-headed_Amazon_Parrot.jpg"
800px-Sri_Lanka_Hanging_Parrot.jpg,Sanka Karunaratne,Creative Commons Attribution-Share Alike 4.0 International,"https://commons.wikimedia.org/wiki/File:Sri_Lanka_Hanging_Parrot.jpg"
800px-A_parrot_eating_chilli.jpg,MD SABBIR,Creative Commons Attribution-Share Alike 4.0 International,"https://commons.wikimedia.org/wiki/File:A_parrot_eating_chilli.jpg"
Trichoglossus_haematodus_deplanchii_-_Karlsruhe_Zoo_01.jpg,H. Zell,Creative Commons Attribution-Share Alike 3.0 Unported,"https://commons.wikimedia.org/wiki/File:Trichoglossus_haematodus_deplanchii_-_Karlsruhe_Zoo_01.jpg"
Phoenix_Parrots.jpg,Kresnanta,Creative Commons Attribution-Share Alike 4.0 International,"https://commons.wikimedia.org/wiki/File:Phoenix_Parrots.jpg"
800px-Parrots_in_Cebu_Safari_a.k.a_Somebody's_Favorite.jpg,Carl Kho,Creative Commons Attribution-Share Alike 4.0 International,"https://commons.wikimedia.org/wiki/File:Parrots_in_Cebu_Safari_a.k.a_Somebody%27s_Favorite.jpg"
784px-Parrots_Image.jpg,Magnus Johansson,Creative Commons Attribution-Share Alike 2.0 Generic,"https://commons.wikimedia.org/wiki/File:Parrots_Image.jpg"
800px-Ara-Zoo-Muenster-2013.jpg,Tuxyso,Creative Commons Attribution-Share Alike 3.0 Unported,"https://commons.wikimedia.org/wiki/File:Ara-Zoo-Muenster-2013.jpg"
800px-Sentinel_parrots.jpg,psyberartist,Creative Commons Attribution 2.0 Generic,"https://commons.wikimedia.org/wiki/File:Sentinel_parrots.jpg"
800px-Red-lored_parrots_(Amazona_autumnalis_salvini)_in_flight.jpg,Charles J. Sharp,Creative Commons Attribution-Share Alike 4.0 International,"https://commons.wikimedia.org/wiki/File:Red-lored_parrots_(Amazona_autumnalis_salvini)_in_flight.jpg"
800px-Yellow-faced_parrot_(Alipiopsitta_xanthops)_yellow_morph.JPG,Charles J. Sharp,Creative Commons Attribution-Share Alike 4.0 International,"https://commons.wikimedia.org/wiki/File:Yellow-faced_parrot_(Alipiopsitta_xanthops)_yellow_morph.JPG"
Amazona_aestiva_-pet_parrot-8a.jpg,Heitor Augusto Pereira,Creative Commons Attribution 2.0 Generic,"https://commons.wikimedia.org/wiki/File:Amazona_aestiva_-pet_parrot-8a.jpg"
Pyrrhura_cruentata_-pet_parrot_with_toy_-side.jpg,Redvers,Creative Commons Attribution 2.0 Generic,"https://commons.wikimedia.org/wiki/File:Pyrrhura_cruentata_-pet_parrot_with_toy_-side.jpg"
478px-Parrot_(8307577249).jpg,psyberartist,Creative Commons Attribution 2.0 Generic,"https://commons.wikimedia.org/wiki/File:Parrot_(8307577249).jpg"
